one|1
two|2
three|3
four|4
five|5
six|6
seven|7
eight|8
nine|9
ten|10
eleven|11
twelve|12
thirteen|13
fourteen|14
fifteen|15
sixteen|16
seventeen|17
eighteen|18
nineteen|19
twenty|20
twenty-one|21
twenty-two|22
twenty-three|23
twenty-four|24
twenty-five|25
twenty-six|26
twenty-seven|27
twenty-eight|28
twenty-nine|29
thirty|30
thirty-one|31
thirty-two|32
thirty-three|33
thirty-four|34
thirty-five|35
thirty-six|36
thirty-seven|37
thirty-eight|38
thirty-nine|39
forty|40
forty-one|41
forty-two|42
forty-three|43
forty-four|44
forty-five|45
forty-six|46
forty-seven|47
forty-eight|48
forty-nine|49
fifty|50
fifty-one|51
fifty-two|52
fifty-three|53
fifty-four|54
fifty-five|55
fifty-six|56
fifty-seven|57
fifty-eight|58
fifty-nine|59
sixty|60
sixty-one|61
sixty-two|62
sixty-three|63
sixty-four|64
sixty-five|65
sixty-six|66
sixty-seven|67
sixty-eight|68
sixty-nine|69
seventy|70
seventy-one|71
seventy-two|72
seventy-three|73
seventy-four|74
seventy-five|75
seventy-six|76
seventy-seven|77
seventy-eight|78
seventy-nine|79
eighty|80
eighty-one|81
eighty-two|82
eighty-three|83
eighty-four|84
eighty-five|85
eighty-six|86
eighty-seven|87
eighty-eight|88
eighty-nine|89
ninety|90
ninety-one|91
ninety-two|92
ninety-three|93
ninety-four|94
ninety-five|95
ninety-six|96
ninety-seven|97
ninety-eight|98
ninety-nine|99
one hundred|100
one hundred and one|101
one hundred and two|102
one hundred and three|103
one hundred and four|104
one hundred and five|105
one hundred and six|106
one hundred and seven|107
one hundred and eight|108
one hundred and nine|109
one hundred and ten|110
one hundred and eleven|111
one hundred and twelve|112
one hundred and thirteen|113
one hundred and fourteen|114
one hundred and fifteen|115
one hundred and sixteen|116
one hundred and seventeen|117
one hundred and eighteen|118
one hundred and nineteen|119
one hundred and twenty|120
one hundred and twenty-one|121
one hundred and twenty-two|122
one hundred and twenty-three|123
one hundred and twenty-four|124
one hundred and twenty-five|125
one hundred and twenty-six|126
one hundred and twenty-seven|127
one hundred and twenty-eight|128
one hundred and twenty-nine|129
one hundred and thirty|130
one hundred and thirty-one|131
one hundred and thirty-two|132
one hundred and thirty-three|133
one hundred and thirty-four|134
one hundred and thirty-five|135
one hundred and thirty-six|136
one hundred and thirty-seven|137
one hundred and thirty-eight|138
one hundred and thirty-nine|139
one hundred and forty|140
one hundred and forty-one|141
one hundred and forty-two|142
one hundred and forty-three|143
one hundred and forty-four|144
one hundred and forty-five|145
one hundred and forty-six|146
one hundred and forty-seven|147
one hundred and forty-eight|148
one hundred and forty-nine|149
one hundred and fifty|150
one hundred and fifty-one|151
one hundred and fifty-two|152
one hundred and fifty-three|153
one hundred and fifty-four|154
one hundred and fifty-five|155
one hundred and fifty-six|156
one hundred and fifty-seven|157
one hundred and fifty-eight|158
one hundred and fifty-nine|159
one hundred and sixty|160
one hundred and sixty-one|161
one hundred and sixty-two|162
one hundred and sixty-three|163
one hundred and sixty-four|164
one hundred and sixty-five|165
one hundred and sixty-six|166
one hundred and sixty-seven|167
one hundred and sixty-eight|168
one hundred and sixty-nine|169
one hundred and seventy|170
one hundred and seventy-one|171
one hundred and seventy-two|172
one hundred and seventy-three|173
one hundred and seventy-four|174
one hundred and seventy-five|175
one hundred and seventy-six|176
one hundred and seventy-seven|177
one hundred and seventy-eight|178
one hundred and seventy-nine|179
one hundred and eighty|180
one hundred and eighty-one|181
one hundred and eighty-two|182
one hundred and eighty-three|183
one hundred and eighty-four|184
one hundred and eighty-five|185
